Newark,,,,,
Public Asset,Total Count,2025 Risk,% Share 2025,2050 Risk,% Share 2050
AIRPORT,1,,0.00%,1,100.00%
FIRE DEPARTMENT,17,,0.00%,2,11.80%
HOSPITAL,17,,0.00%,1,5.90%
KNOWN CONTAMINATED SITE,510,99,19.40%,257,50.40%
LIBRARY,9,,0.00%,1,11.10%
PARK,85,6,7.10%,21,24.70%
POLICE STATION,15,2,13.30%,5,33.30%
POWERPLANT,8,4,50.00%,5,62.50%
SCHOOL,121,2,1.70%,10,8.30%
SOLID & HAZARD,6,2,33.30%,4,66.70%
SOLID WASTE LANDFILL,8,1,12.50%,2,25.00%
SUPERFUND,4,3,0.75,4,1
WASTEWATER TREATMENT,1,,0.00%,1,100.00%
,,,,,
Overall,802,119,0.148,314,0.392
,,,,,
Elizabeth,,,,,
Public Asset,Total Count,2025 Risk,% Share 2025,2050 Risk,% Share 2050
AIRPORT,1,,0.00%,1,100.00%
FIRE DEPARTMENT,7,1,14.30%,4,57.10%
HOSPITAL,3,,0.00%,1,33.30%
KNOWN CONTAMINATED SITE,116,28,24.10%,56,48.30%
LIBRARY,4,,0.00%,2,50.00%
PARK,46,5,10.90%,17,37.00%
POLICE STATION,3,,0.00%,1,33.30%
POWERPLANT,9,4,44.40%,5,55.60%
SCHOOL,46,1,2.20%,7,15.20%
SOLID & HAZARD,9,4,0.444,5,0.556
SOLID WASTE LANDFILL,7,4,57.10%,7,100.00%
SUPERFUND,1,1,1,1,1
WASTEWATER TREATMENT,1,1,1,1,1
,,,,,
,253,49,0.194,108,0.427
,,,,,
Camden,,,,,
Public Asset,Total Count,2025 Risk,% Share 2025,2050 Risk,% Share 2050
AIRPORT,,,#DIV/0!,,#DIV/0!
FIRE DEPARTMENT,5,1,20.00%,2,40.00%
HOSPITAL,12,1,8.30%,3,25.00%
KNOWN CONTAMINATED SITE,151,68,45.00%,85,56.30%
LIBRARY,2,,0.00%,,0.00%
PARK,58,29,50.00%,33,56.90%
POLICE STATION,7,2,28.60%,3,42.90%
POWERPLANT,7,3,0.429,6,0.857
SCHOOL,45,5,11.10%,11,24.40%
SOLID & HAZARD,3,1,0.333,2,0.667
SOLID WASTE LANDFILL,2,,0,,0
SUPERFUND,2,2,1,2,1
WASTEWATER TREATMENT,1,1,1,1,1
,,,,,
Overall,295,113,38.30%,148,50.20%
,,,,,
Trenton,,,,,
Public Asset,Total Count,2025 Risk,% Share 2025,2050 Risk,% Share 2050
AIRPORT,,,#DIV/0!,,#DIV/0!
FIRE DEPARTMENT,7,,0.00%,1,14.30%
HOSPITAL,6,,0,,0
KNOWN CONTAMINATED SITE,92,12,0.13,24,0.261
LIBRARY,2,,0.00%,,0.00%
PARK,28,7,0.25,11,0.393
POLICE STATION,9,,0.00%,1,11.10%
POWERPLANT,2,,0,1,0.5
SCHOOL,31,,0,1,0.032
SOLID & HAZARD,1,1,1,1,1
SOLID WASTE LANDFILL,,,#DIV/0!,,#DIV/0!
SUPERFUND,,,#DIV/0!,,#DIV/0!
WASTEWATER TREATMENT,1,1,100.00%,1,100.00%
,,,,,
Overall,179,21,11.70%,41,22.90%
,,,,,
Jersey City,,,,,
Public Asset,Total Count,2025 Risk,% Share 2025,2050 Risk,% Share 2050
AIRPORT,,,#DIV/0!,,#DIV/0!
FIRE DEPARTMENT,14,2,14.30%,4,28.60%
HOSPITAL,9,3,0.333,4,0.444
KNOWN CONTAMINATED SITE,429,197,0.459,279,0.65
LIBRARY,11,3,27.30%,4,36.40%
PARK,113,45,0.398,63,0.558
POLICE STATION,8,1,0.125,3,0.375
POWERPLANT,3,1,0.333,3,1
SCHOOL,92,25,0.272,31,0.337
SOLID & HAZARD,2,1,50.00%,2,100.00%
SOLID WASTE LANDFILL,4,3,75.00%,4,100.00%
SUPERFUND,1,,0.00%,1,100.00%
WASTEWATER TREATMENT,,,#DIV/0!,,#DIV/0!
,,,,,
Overall,686,281,41.00%,398,58.00%
,,,,,
Paterson,,,,,
Public Asset,Total Count,2025 Risk,% Share 2025,2050 Risk,% Share 2050
AIRPORT,,,#DIV/0!,,#DIV/0!
FIRE DEPARTMENT,6,2,0.333,2,0.333
HOSPITAL,3,1,33.30%,1,33.30%
KNOWN CONTAMINATED SITE,153,25,0.163,54,0.353
LIBRARY,5,,0,1,0.2
PARK,32,12,0.375,19,0.594
POLICE STATION,2,1,0.5,2,1
POWERPLANT,2,1,50.00%,1,50.00%
SCHOOL,67,2,3.00%,15,22.40%
SOLID & HAZARD,4,2,50.00%,2,50.00%
SOLID WASTE LANDFILL,,,#DIV/0!,,#DIV/0!
SUPERFUND,,,#DIV/0!,,#DIV/0!
WASTEWATER TREATMENT,,,#DIV/0!,,#DIV/0!
,,,,,
Overall,274,46,0.168,97,0.354
,,,,,
Asbury Park City,,,,,
Public Asset,Total Count,2025 Risk,% Share 2025,2050 Risk,% Share 2050
AIRPORT,,,#DIV/0!,,#DIV/0!
FIRE DEPARTMENT,1,,0,,0
HOSPITAL,1,,0,1,1
KNOWN CONTAMINATED SITE,42,3,0.071,22,0.524
LIBRARY,1,,0,,0
PARK,5,3,60.00%,5,100.00%
POLICE STATION,1,,0.00%,,0.00%
POWERPLANT,,,#DIV/0!,,#DIV/0!
SCHOOL,10,1,10.00%,3,30.00%
SOLID & HAZARD,,,#DIV/0!,,#DIV/0!
SOLID WASTE LANDFILL,,,#DIV/0!,,#DIV/0!
SUPERFUND,,,#DIV/0!,,#DIV/0!
WASTEWATER TREATMENT,1,,0.00%,,0.00%
,,,,,
Overall,62,7,11.30%,31,50.00%
,,,,,
Atlantic City,,,,,
Public Asset,Total Count,2025 Risk,% Share 2025,2050 Risk,% Share 2050
AIRPORT,1,,0,,0
FIRE DEPARTMENT,6,6,1,6,1
HOSPITAL,7,5,0.714,6,0.857
KNOWN CONTAMINATED SITE,95,89,0.937,94,0.989
LIBRARY,2,2,1,2,1
PARK,40,40,1,40,1
