#,MUNCIPALITY,2024_POP,TOTAL_ASSETS,2025_FLOOD_RISK,%_2025_RISK,2050_FLOOD_RISK,%_2050_RISK,NEW_AT_RISK_BY_2050,%_RISK_INCREASE,OUTREACH_TIER,PRIORITY_RANK
1,NEWARK CITY,"317,303",802,119,14.80%,314,39.20%,195,24.40%,A_METRO_CRISIS,2
2,JERSEY CITY,"302,824",686,281,41.00%,398,58.00%,117,17.00%,A_METRO_CRISIS,1
3,PATERSON CITY,"160,463",274,46,16.80%,97,35.40%,51,18.60%,A_METRO_CRISIS,6
4,LAKEWOOD TWP,"141,985",233,14,6.00%,28,12.00%,14,6.00%,C_LOWER_URGENCY,287
5,ELIZABETH CITY,"140,413",253,49,19.40%,108,42.70%,59,23.30%,A_METRO_CRISIS,4
6,EDISON TWP,"110,002",164,9,5.50%,13,7.90%,4,2.40%,C_LOWER_URGENCY,324
7,WOODBRIDGE TWP,"106,101",219,46,21.00%,86,39.30%,40,18.30%,A_METRO_CRISIS,8
8,TOMS RIVER TWP,"99,873",103,30,29.10%,34,33.00%,4,3.90%,A_METRO_CRISIS,13
9,HAMILTON TWP,"93,911",214,34,15.90%,62,29.00%,28,13.10%,C_LOWER_URGENCY,282
10,TRENTON CITY,"91,193",179,21,11.70%,41,22.90%,20,11.20%,C_LOWER_URGENCY,284
11,CLIFTON CITY,"90,322",174,11,6.30%,52,29.90%,41,23.60%,C_LOWER_URGENCY,283
12,CHERRY HILL TWP,"78,988",121,8,6.60%,12,9.90%,4,3.30%,C_LOWER_URGENCY,330
13,BRICK TWP,"76,629",65,11,16.90%,15,23.10%,4,6.20%,C_LOWER_URGENCY,313
14,BAYONNE CITY,"74,532",141,59,41.80%,86,61.00%,27,19.20%,A_METRO_CRISIS,7
15,EAST ORANGE CITY,"71,850",103,5,4.90%,18,17.50%,13,12.60%,C_LOWER_URGENCY,304
16,CAMDEN CITY,"71,749",295,113,38.30%,148,50.20%,35,11.90%,A_METRO_CRISIS,3
17,PASSAIC CITY,"70,722",82,12,14.60%,20,24.40%,8,9.80%,C_LOWER_URGENCY,296
18,OLD BRIDGE TWP,"70,506",98,16,16.30%,19,19.40%,3,3.10%,C_LOWER_URGENCY,298
19,MIDDLETOWN TWP,"66,940",107,28,26.20%,36,33.60%,8,7.40%,A_METRO_CRISIS,12
20,UNION CITY,"66,918",71,0,0.00%,0,0.00%,0,0.00%,C_LOWER_URGENCY,541
21,GLOUCESTER TWP,"66,896",70,6,8.60%,9,12.90%,3,4.30%,C_LOWER_URGENCY,349
22,UNION TWP,"63,171",119,16,13.40%,34,28.60%,18,15.20%,C_LOWER_URGENCY,285
23,PISCATAWAY TWP,"62,733",100,5,5.00%,15,15.00%,10,10.00%,C_LOWER_URGENCY,316
24,VINELAND CITY,"62,070",136,6,4.40%,16,11.80%,10,7.40%,C_LOWER_URGENCY,310
25,IRVINGTON TWP,"61,838",90,7,7.80%,15,16.70%,8,8.90%,C_LOWER_URGENCY,315
26,NORTH BERGEN TWP,"61,668",94,26,27.70%,37,39.40%,11,11.70%,A_METRO_CRISIS,11
27,JACKSON TWP,"60,704",56,5,8.90%,10,17.90%,5,9.00%,C_LOWER_URGENCY,339
28,HOBOKEN CITY,"59,149",111,98,88.30%,106,95.50%,8,7.20%,A_METRO_CRISIS,5
29,NEW BRUNSWICK CITY,"57,487",106,19,17.90%,26,24.50%,7,6.60%,C_LOWER_URGENCY,289
30,PERTH AMBOY CITY,"56,939",98,11,11.20%,20,20.40%,9,9.20%,C_LOWER_URGENCY,297
31,PARSIPPANY-TROY HILLS TWP,"56,729",65,3,4.60%,14,21.50%,11,16.90%,C_LOWER_URGENCY,319
32,PLAINFIELD CITY,"56,507",96,29,30.20%,43,44.80%,14,14.60%,A_METRO_CRISIS,10
33,BLOOMFIELD TWP,"55,416",83,15,18.10%,46,55.40%,31,37.30%,A_METRO_CRISIS,9
34,HOWELL TWP,"54,397",77,7,9.10%,14,18.20%,7,9.10%,C_LOWER_URGENCY,321
35,WAYNE TWP,"54,096",87,15,17.20%,26,29.90%,11,12.70%,C_LOWER_URGENCY,288
36,WEST NEW YORK TOWN,"52,975",59,8,13.60%,9,15.30%,1,1.70%,C_LOWER_URGENCY,348
37,EAST BRUNSWICK TWP,"51,086",67,2,3.00%,5,7.50%,3,4.50%,C_LOWER_URGENCY,398
38,MONROE TWP,"50,157",88,10,11.40%,15,17.00%,5,5.60%,C_LOWER_URGENCY,314
39,WEST ORANGE TWP,"49,211",64,18,28.10%,35,54.70%,17,26.60%,B_UNDER_RADAR,26
40,EVESHAM TWP,"49,050",42,0,0.00%,5,11.90%,5,11.90%,C_LOWER_URGENCY,394
41,EGG HARBOR TWP,"48,538",77,6,7.80%,9,11.70%,3,3.90%,C_LOWER_URGENCY,350
42,SOUTH BRUNSWICK TWP,"47,896",84,14,16.70%,22,26.20%,8,9.50%,C_LOWER_URGENCY,292
43,MOUNT LAUREL TWP,"47,211",54,3,5.60%,11,20.40%,8,14.80%,C_LOWER_URGENCY,334
44,SAYREVILLE BORO,"47,165",85,15,17.60%,22,25.90%,7,8.30%,C_LOWER_URGENCY,293
45,BRIDGEWATER TWP,"46,871",97,16,16.50%,24,24.70%,8,8.20%,C_LOWER_URGENCY,291
46,HACKENSACK CITY,"46,630",113,49,43.40%,67,59.30%,18,15.90%,B_UNDER_RADAR,18
47,MANCHESTER TWP,"46,252",40,6,15.00%,10,25.00%,4,10.00%,C_LOWER_URGENCY,337
48,HILLSBOROUGH TWP,"45,421",55,4,7.30%,5,9.10%,1,1.80%,C_LOWER_URGENCY,395
49,LINDEN CITY,"45,393",164,45,27.40%,79,48.20%,34,20.80%,B_UNDER_RADAR,16
50,NORTH BRUNSWICK TWP,"45,323",52,1,1.90%,1,1.90%,0,0.00%,C_LOWER_URGENCY,507
51,BERKELEY TWP,"45,211",41,14,34.10%,17,41.50%,3,7.40%,B_UNDER_RADAR,70
52,TEANECK TWP,"42,578",73,10,13.70%,18,24.70%,8,11.00%,C_LOWER_URGENCY,303
53,MARLBORO TWP,"41,852",69,8,11.60%,10,14.50%,2,2.90%,C_LOWER_URGENCY,342
54,MONTCLAIR TWP,"41,076",74,10,13.50%,25,33.80%,15,20.30%,B_UNDER_RADAR,40
