PUBLIC_ASSET,UNIQUE_ID,NAME,COUNTY,MUNCIPALITY,2025_FLOOD,2050 FLOOD
FIRE DEPARTMENT,Fire-83,Absecon Volunteer Fire Department,ATLANTIC,ABSECON CITY,0,1
POLICE STATION,Police-284,ABSECON POLICE DEPARTMENT,ATLANTIC,ABSECON CITY,0,0
SCHOOL,SCHOOL-2811,Emma C Attales,ATLANTIC,ABSECON CITY,0,0
SCHOOL,SCHOOL-2812,H Ashton Marsh,ATLANTIC,ABSECON CITY,0,0
SCHOOL,SCHOOL-625,Holy Spirit High School,ATLANTIC,ABSECON CITY,0,0
PARK,TPL PARK-2242,Heritage Park,ATLANTIC,ABSECON CITY,0,0
PARK,TPL PARK-2243,Seasor Park,ATLANTIC,ABSECON CITY,1,1
PARK,TPL PARK-2244,Senior Citizen'S Park,ATLANTIC,ABSECON CITY,0,0
PARK,TPL PARK-2245,Franklin Blvd Park,ATLANTIC,ABSECON CITY,0,1
KNOWN CONTAMINATED SITE,KCS-1582,UHAUL 813048,ATLANTIC,ABSECON CITY,0,1
KNOWN CONTAMINATED SITE,KCS-1984,DAIBES SVC STATION ABSECON,ATLANTIC,ABSECON CITY,1,1
KNOWN CONTAMINATED SITE,KCS-2425,BINDRA INVESTMENTS LLC,ATLANTIC,ABSECON CITY,0,1
KNOWN CONTAMINATED SITE,KCS-3242,BP ABSECON,ATLANTIC,ABSECON CITY,1,1
KNOWN CONTAMINATED SITE,KCS-4591,ATLANTIC CITY ELECTRIC PAD #105114306,ATLANTIC,ABSECON CITY,0,1
KNOWN CONTAMINATED SITE,KCS-7374,SAFETY BUS SERVICE,ATLANTIC,ABSECON CITY,1,1
KNOWN CONTAMINATED SITE,KCS-8881,ART MERRILL MARINE FORMER,ATLANTIC,ABSECON CITY,0,0
AIRPORT,AIRPORT-4B,ATLANTIC CITY INTL,ATLANTIC,ATLANTIC CITY,0,0
FIRE DEPARTMENT,Fire-1180,Atlantic City Fire Department Station 3,ATLANTIC,ATLANTIC CITY,1,1
FIRE DEPARTMENT,Fire-1212,Atlantic City Fire Department Station 6,ATLANTIC,ATLANTIC CITY,1,1
FIRE DEPARTMENT,Fire-1240,Atlantic City Fire Department Station 2,ATLANTIC,ATLANTIC CITY,1,1
FIRE DEPARTMENT,Fire-609,Atlantic City Fire Department,ATLANTIC,ATLANTIC CITY,1,1
FIRE DEPARTMENT,Fire-794,Atlantic City Fire Department Station 5,ATLANTIC,ATLANTIC CITY,1,1
FIRE DEPARTMENT,Fire-902,Atlantic City Fire Department Station 1,ATLANTIC,ATLANTIC CITY,1,1
HOSPITAL,HOSPITAL-12,Acuity Specialty Hospital of New Jersey,ATLANTIC,ATLANTIC CITY,0,1
HOSPITAL,HOSPITAL-129,Women and Children's Health Pavilion,ATLANTIC,ATLANTIC CITY,1,1
HOSPITAL,HOSPITAL-22,AtlantiCare Health Services Healthcare for the Homeless-Atlantic Ave,ATLANTIC,ATLANTIC CITY,1,1
HOSPITAL,HOSPITAL-23,AtlantiCare Health Services Healthcare for the Homeless-Bacharach Blvd,ATLANTIC,ATLANTIC CITY,1,1
HOSPITAL,HOSPITAL-237,Atlanticare Regional Medical Center City Division,ATLANTIC,ATLANTIC CITY,0,0
HOSPITAL,HOSPITAL-24,AtlantiCare Health Services at Covenant House,ATLANTIC,ATLANTIC CITY,1,1
HOSPITAL,HOSPITAL-25,Atlantic City Center,ATLANTIC,ATLANTIC CITY,1,1
LIBRARY,LIBRARY-4,Atlantic City Free Public Library,ATLANTIC,ATLANTIC CITY,1,1
LIBRARY,LIBRARY-5,Atlantic City Free Public Library-Richmond Avenue Branch,ATLANTIC,ATLANTIC CITY,1,1
POLICE STATION,Police-452,NEW JERSEY STATE POLICE TROOP A - HEADQUARTERS,ATLANTIC,ATLANTIC CITY,1,1
POLICE STATION,Police-582,ATLANTIC CITY POLICE DEPARTMENT,ATLANTIC,ATLANTIC CITY,1,1
POWERPLANT,POWERPLANT-120,"Luminace Solar New Jersey, LLC",Atlantic,ATLANTIC CITY,1,1
POWERPLANT,POWERPLANT-250,"Cartier Energy, LLC",Atlantic,ATLANTIC CITY,1,1
POWERPLANT,POWERPLANT-276,"DTE Atlantic, LLC",Atlantic,ATLANTIC CITY,1,1
POWERPLANT,POWERPLANT-302,"Viridity Energy Solutions, Inc.",Atlantic,ATLANTIC CITY,1,1
POWERPLANT,POWERPLANT-363,"Distributed Solar Development, LLC",Atlantic,ATLANTIC CITY,1,1
